"company_name","job_title","job_description","job_posted_date","job_salary/currency","job_salary/currency_symbol","job_salary/estimated","job_salary/pay_period","job_industry","company_short_name","company_sizes_str","company_foundation_date","company_revenue"
"McCall-Thomas Engineering Company Inc","Civil Engineer (Remote)","McCall Thomas Engineering Company, Inc. is seeking an experienced full-time Substation Design Civil Engineer. This will be a remote position requiring some travel in order to attend client and internal team meetings. South Carolina candidate preferred.




Job location: Remote




Work schedule options: M-TH 4X10 or M-F 5X8




At McCall-Thomas Engineering we have been providing quality engineering and technical services since 1945. With a storied history of over 78 years and more than 200 clients, McCall-Thomas continues to take great pride in utilizing our experience and efficiency to provide the highest quality engineering and technical services for the ultimate success of our valued clients.




McCall-Thomas Engineering is a multi-faceted employee-owned engineering firm housing multiple divisions including the Communications Engineering Division, the Electrical Engineering Division, the Electric Utility Service Division, the Electric Field Operations & UAS, as well as the McT Learning Center and Print Services.




A McCall-Thomas Substation/Transmission (Civil) Engineer will provide civil-structural engineering and technical expertise to Transmission Line and Transmission Substation engineering and design teams for the purpose of delivering safe, cost-effective, and quality engineering and design services. The Engineer will also provide direction on complex engineering and technical challenges for the projects. This role requires both direct billable client work and project management support for projects. The Engineer is expected to take initiative on discipline-specific work for projects, perform assigned engineering duties and manage project schedules and budgets. The Engineer will also support proposal development and project cost estimating.




The primary responsibilities for this role include:




 * Understanding and creating substation civil-structural drawing packages (foundations, structural steel, bus and cable) utilizing national code, industry standards and best practices
 * Identifying, analyzing, and resolving engineering, technical and design problems
 * Planning, organizing, estimating, scheduling, and monitoring of work activities
 * Assuming project lead responsibilities such as assigning work to other engineers and to technicians
   
 * Producing thorough, timely, and accurate technical reports, correspondence, documentation, calculations, and sketches
 * Signing and sealing drawings and reports
 * Monitoring deliverables and schedules, and presenting solutions to the client
 * Continually improving job-related engineering, technical and professional knowledge, skills, process development, and performance
 * Representing the company positively and professionally, and developing and maintaining professional relationships with clients.
 * Interacting with client’s internal engineering staff and technical personnel on a day-to-day basis

This job description is not intended to be all-inclusive. The employee may be tasked with other related duties as required to meet the ongoing needs of the organization.




What You Will Need:

 * Eligibility to work in the US without sponsorship (required)
 * Bachelor's degree in Civil Engineering from an ABET-accredited engineering program
 * PE registration in SC required within 120 days
 * 7+ years experience in substation design (for remote work eligibility)
   
 * Experience must include preparation of scopes of work, development of conceptual designs, determination of design basis, the selection of equipment and materials, and the preparation and assembling of calculations and specifications
   
 * Knowledge of engineering standards including NESC, IEC, ASCE, ACI, IEEE and ANSI
   
 * Valid driver’s license




What We Offer:

At McCall-Thomas, we offer employees the chance to work with great people on exciting projects, with opportunity for growth. We also provide a full range of benefits for regular full-time employees, such as:

 * Competitive compensation
 * 100% company-paid medical insurance
 * Company-paid long-term disability insurance
 * Company-paid life insurance
 * 401k plan with employer match up to 5%
 * Paid time off and holiday leave
 * Stock ownership opportunities

","2024-03-07T00:00:00","USD","$","true","hourly","Architectural & Engineering Services","McCall-Thomas Engineering","Unknown",,"Unknown / Non-Applicable"
"OHM Advisors, Inc.","Graduate Civil Engineer (Hiring for May 2024) - Tennessee","Come work for OHM Advisors, the community advancement firm.

With the singular mission of Advancing Communities, our diverse, 650+ member team works collaboratively across multiple service areas including architecture, engineering, planning, surveying, and construction engineering to create better places for people.

We are a team of experts with individual specialties working together, driven to make a difference through people-focused problem solving, design and ideas. In everything we do, we put people first. We create places for communities of people that help solve a problem and drive them forward—advancing the whole community today and well into the future.

Positions are available in the Transportation, Field Services Construction or Survey, Site and Municipal Engineering groups in multiple locations in Southeast Michigan.

Your Responsibilities

 * Participate in the collection and analysis of data and preparation of satisfactory designs.
 * Perform design calculations and conduct investigative analyses toward completion of assigned design tasks and direct. preparation of design specifications.
 * Perform quantity estimates, detailing, and check calculations and drawings.
 * Organize scheduling of specific tasks and assignments.

What You'll Need to Succeed

 * Bachelor's degree in Civil Engineering or related field required.
 * Proficient in the use of Microsoft Office Suite.
 * Experience working in AutoCAD or Microstation.
 * Engineer in Training (EIT) and internship/co-op experience preferred.

Growth at OHM Advisors

Advancement isn’t just for our clients. We’re committed to moving our team forward, too. At OHM Advisors, you’ll enjoy challenging, meaningful work at a growing company creating innovative solutions for forward-thinking clients. But there’s not just cool work on big projects. You’ll be empowered to create your own career path in a culture that supports your individual professional development goals and encourages your pursuits through continued opportunities for growth. Read about some of our opportunities for career growth and enrichment on our website.

OHM Advisors is an Equal Opportunity Employer (EOE). All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.






EDUCATION

Required
 * Bachelors or better in Civil Engineering or related field

LICENSES & CERTIFICATIONS

Preferred
 * Engineer in Training

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)","2024-03-07T00:00:00","USD","$","true","hourly","Architectural & Engineering Services","OHM Advisors","Unknown",,"Unknown / Non-Applicable"
"Alliance Engineering, Inc.","Civil Engineer","Alliance Engineering, located at the Jeremy Ranch exit off I-80, in Park City, Utah is seeking a Civil Engineer. This is a full time position with competitive wages and benefits. Ideal candidate will have 3 years of engineering design and project management, including construction management and be proficient using Autocad Civil 3D. Candidate must work in a team environment, be detail oriented and be able to handle multiple projects concurrently. Work will consist of:

 * Project Management.
 * Engineering Design and Construction Plans
 * Site, Grading, and Utility Design
 * Hydrology and Storm Water Management
 * Roadway and Utility Plan and Profile design and Construction Plans
 * Earthwork Calculations
 * Contract Documents, Specifications, Construction Management

Alliance Engineering works on exciting and unique projects relating to ski resort development.

Job Type: Full-time

Pay: $75,000.00 - $100,000.00 per year

Benefits:

 * 401(k)
 * Health insurance
 * Paid time off

Schedule:

 * 8 hour shift

Work Location: In person","2024-03-13T00:00:00","USD","$","false","hourly","Business Consulting","Alliance Engineering, Inc.","51 to 200 Employees",,"$5 to $25 million (USD)"
"Gray & Osborne Consulting Engineers Inc.","Civil Engineer - Transportation","POSITION: Civil Engineer – Transportation

PROFILE OF COMPANY:

Gray & Osborne has provided professional engineering services to public agencies throughout Washington State since 1935. We specialize in the planning, design, and construction management of water, sewer, stormwater transportation, and utility systems. The opening is in our Seattle office located at 1130 Rainier Avenue S., Suite 300.

JOB DESCRIPTION:

Primary responsibilities are project engineering and/or project management for transportation projects for municipalities and special purpose districts in

Western Washington. Work would include the preparation of engineering reports, preparation of plans, specifications, and estimates, and construction administration.

This is a great opportunity for someone who enjoys working in a creative and collaborative environment where you are can be part of a design team in providing service to communities throughout Western Washington.

KNOWLEDGE, SKILLS, and ABILITIES:

 * 4-year Civil Engineering degree.

 * Professional Engineer license required.

 * At least 5-15 years of experience in transportation focused civil engineering

 * Excellent interpersonal skills.

 * Able to work well with others in a collaborative manner.

 * Ability to prioritize and simultaneously manage multiple projects.

SALARY AND BENEFITS:

We offer a competitive salary and excellent benefits. The anticipated salary range for this position (including year-end bonus) is $100,000 to $140,000, depending upon experience. Benefits include 401K retirement plan (with employer profit-sharing contribution), medical, vision, and dental insurance, life insurance, disability insurance, 8 paid holidays and paid time off starting at 15 days per year.

Gray & Osborne, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, religion, national origin, age, protected veteran status, disability status, or any other characteristic protected by law.

Job Type: Full-time

Pay: $100,000.00 - $140,000.00 per year

Benefits:

 * 401(k)
 * Dental insurance
 * Flexible schedule
 * Flexible spending account
 * Health insurance
 * Life insurance
 * Paid time off

Schedule:

 * 8 hour shift

Supplemental pay types:

 * Bonus pay

People with a criminal record are encouraged to apply

Ability to commute/relocate:

 * Seattle, WA 98144: Reliably commute or planning to relocate before starting work (Required)

Experience:

 * transportation focused civil engineering: 10 years (Required)

Work Location: In person","2024-02-28T00:00:00","USD","$","false","hourly","Architectural & Engineering Services","Gray & Osborne Consulting Engineers","51 to 200 Employees",,"$5 to $25 million (USD)"
"Graham & Associates","Municipal Engineer - Site Design - Civil","`Exceptional opportunity for Civil Engineer with BSCE, PE and at least 5 years of engineering experience. Handle project scope, proposals, design, project engineering. Design for water, wastewater, drainage, utilities layout, etc. Need engineer with strong software skills. Seeking experience engineer who is ambitious. Is this you? Upbeat, positive and ambitious?

Firm offers strong project backlog with a variety of projects to engineer. Great benefits. Compensation package that includes bonus formulas as well as salary based on experience.

Job Type: Full-time

Pay: $90,000.00 - $120,000.00 per year

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Health insurance
 * Life insurance
 * Paid time off
 * Professional development assistance
 * Referral program
 * Retirement plan
 * Vision insurance

Compensation package:

 * Bonus opportunities

Experience level:

 * 5 years

Schedule:

 * Monday to Friday

Ability to Relocate:

 * Tulsa, OK: Relocate before starting work (Required)

Work Location: In person","2024-03-16T00:00:00","USD","$","false","hourly",,"Graham & Associates","1 to 50 Employees",,"Unknown / Non-Applicable"
"Gaskins + LeCraw","Civil Engineer 1","Gaskins + LeCraw is an enhanced, full-service company, offering survey, planning, and engineering capabilities across the Southeast.

Come join a team of over 150 employees in the areas of civil engineering, planning consulting, surveying, and entitlements in four offices throughout Georgia.

We are currently seeking a Civil Engineer 1 for our Residential and Commercial teams in our Duluth office.

RESPONSIBILITIES:

 * Perform civil design (i.e., grading, drainage, paving, geometric design, utility design, etc.), sketches, technical comparisons and similar technical work as required by the project.
 * Preparation of applications, reports, and calculations to support design of various project types, including retail centers, multi-family developments, schools, industrial sites, residential and mixed-use developments
 * The Civil Engineer 1 will review and coordinate drawings supplied by vendors, clients, and architects.
 * Research codes and work with City, County, and State officials.
 * Travel may be required to attend meetings, project sites, or other business-related functions.
 * Assist with other duties as assigned by Project Engineers and/or Project Managers.

REQUIREMENTS:

 * Bachelor of Science Degree in Civil Engineering
 * EIT certification not required, but encouraged
 * A minimum of 1 year of industry related work experience.
 * The Civil Engineer 1 MUST have working knowledge of AutoCAD Civil 3D
 * A self-starter, collaborative teammate and a willingness to work on a variety of project types
 * Project experience related to site development is preferred, but not required
 * Excellent communication skills, both verbal and written, are a must.



Our pay and benefits package are among the best in the industry.

CIVIL ENGINEER 1

 * Competitive salary
 * PLUS End of the Year BONUS
 * Heath Care coverage
 * Dental Coverage
 * 401 (k) plan
 * Vision care
 * Health Saving Account options
 * Life Insurance
 * Short Term Disability
 * Paid Holidays
 * Vacation Leave
 * Volunteer time off



nu6NkpusM5","2024-03-14T00:00:00","USD","$","true","hourly",,"Gaskins + LeCraw","Unknown",,"Unknown / Non-Applicable"
"Intellectual Concepts LLC","Roadway Engineer (ML)","Role description:

Intellectual Concepts is seeking a mid-level Transportation Design Engineer to join the team in Atlanta, GA or Birmingham, AL. In this position, you will have the opportunity to be mentored and trained by technical experts in the field of transportation design. As a roadway engineer, you will assist in the preparation of roadway design plans, engineering reports, studies and analyses in a wide range of areas.




Successful applicants for this position must have received or be willing to receive the COVID-19 vaccine and be fully vaccinated, or have a valid waiver, by date of hire. Proof of vaccination is required




Role accountabilities:

Position responsibilities may include, but are not limited to:

 * Prepare conceptual designs and construction plans utilizing OpenRoads design software
 * Create engineering design including geometric design of highways and streets, drainage design (hydrology and hydraulics) and completion of construction engineering and inspection tasks
 * Complete transportation planning reports and roadway safety studies
 * Complete Erosion Prevention and Sediment Control (EPSC) plans, inspections and/or other stormwater related projects
 * Use various software platforms including Microstation, OpenRoads and related design & office software

Desired Skills/ Attributes:

 * Proficient in the use of MS Office tools such as Excel, Word & Powerpoint
 * Basic understanding of the application of geometric and traffic operations principles including AASHTO, MUTCD, and state DOT requirements/policies","2024-03-06T00:00:00","USD","$","true","hourly","Information Technology Support Services","Intellectual Concepts","1 to 50 Employees","2004-01-01T00:00:00.000Z","$1 to $5 million (USD)"
"B19 Consulting Ltd","Civil/Structural Substation Engineer","b19 Consulting is working with an established Power Delivery Consultancy to find a Civil/Structural Substation Engineer that comes from an electric utility background.

Basic Qualifications:

 * 4+ years utility substation design experience
 * Bachelor of Science in Civil Engineering
 * Candidate must be legally authorized to work in the U.S. without need for sponsorship.
 * Strong communication skills to coordinate with project engineers, designers and client representatives.
 * Proficiency with Microsoft Office suite, particularly Excel & Word.

Preferred Qualifications:

 * 5-10 years of substation engineering experience
 * PE License or working towards
 * Expertise with structural analysis and design of steel & concrete substation structures
 * Expertise with LPILE, STAAD, RISA software
 * Knowledge of ACI and AISC standards
 * Design expertise for substation equipment foundations
 * Rigid bus design and calculations
 * QA/QC peer review of other staff designs
 * Mat foundation design expertise for transformers
 * Ability to lead a large portion or the entirety of a substation design project.

If interested and qualified, please apply with an updated resume.

Job Type: Full-time

Pay: $100,000.00 - $160,000.00 per year

Schedule:

 * Monday to Friday

Work Location: Remote","2024-03-05T00:00:00","USD","$","false","hourly",,"B19 Consulting","Unknown",,"Unknown / Non-Applicable"
,"Registered Professional Civil Engineer","Exciting Opportunity for Professional Civil Engineer

Join our team at Tierra West LLC! We're looking for a skilled and dedicated Professional Engineer registered in New Mexico to contribute to our projects. If you have 3-5 years of experience in commercial, residential, and industrial land development, we want to hear from you!

Responsibilities:

Conduct site investigations and feasibility analyses.

Develop site master plans aligned with project goals.

Navigate entitlement processes.

Perform onsite and offsite drainage analysis and design.

Oversee site utility design for functionality and efficiency.

Coordinate dry utility arrangements.

Lead drainage master planning.

Manage coordination with sub-consultants (geotechnical, surveying).

Oversee construction contract management.

Conduct construction inspections.

Requirements:

Bachelor's degree in Civil Engineering or related field.

Professional Engineer license in New Mexico.

3-5 years of design and construction experience in land development.

Proficiency in relevant software and design tools.

Strong communication and teamwork skills.

Ability to manage multiple tasks and deadlines effectively.

This is a full-time position with a competitive salary of $90,000 to $130,000, depending on experience. At Tierra West LLC, we offer a collaborative and supportive work environment where your contributions are valued.

Ready to take your career to the next level? Apply today!

Job Type: Full-time

Pay: $90,000.00 - $130,000.00 per year

Benefits:

 * 401(k)
 * Dental insurance
 * Health insurance
 * Life insurance
 * Paid time off
 * Vision insurance

Schedule:

 * Monday to Friday

Ability to Relocate:

 * Albuquerque, NM 87109: Relocate before starting work (Required)

Work Location: In person","2024-03-12T00:00:00","USD","$","false","hourly",,,,,
"CSG Consultants, Inc.","Senior Engineer - Roadway Design (Hybrid)","JOB SUMMARY
CSG Consultants Inc. (CSG), an established and thriving employee-owned civil engineering and municipal services consulting firm, is currently looking for an experienced Senior Engineer (Roadway Design) to join our Engineering Design team. This is a full-time, hybrid role and can be based out of our Foster City, CA, Sacramento, CA or Central Valley, CA locations.

The Senior Engineer is responsible for the planning, management, supervision, and coordination of professional engineering work related to the planning, design, construction, and maintenance of various public works projects. The Senior Engineer manages multiple public works projects simultaneously, supervises project staff, activities and tasks, coordinates project development and progress with clients, and provides technical support for internal and external stakeholders.

*
RESPONSIBILITIES*

 * Develop and supervise teams of engineers for the preparation of plans, specifications and estimates for the construction of public works projects.
 * Direct engineering staff to perform complex engineering work for public works projects, ensuring technical competence and compliance with governing regulations.
 * Monitor project budget and schedule to ensure timely project delivery.
 * Coordinate project activities with all stakeholders including but not limited to the project team, field personnel, agency staff, utility companies, other consultants, and contractors.
 * Work closely with the clients and project teams.
 * Perform other related duties as required.

QUALIFICATIONS

 * 6+ years of progressive engineering experience.
 * Current California PE License is required. Specialty certifications are highly desired.
 * Bachelor’s degree in civil engineering from an accredited college or university.
 * Experience with and ability to mentor junior design staff.
 * Proven track record for successfully completing roadway engineering projects – e.g., pavement rehabilitation, complete streets, bicycle/pedestrian facilities, intersection, Safe Routes to Schools, drainage, and utility design.
 * Proficient in AutoCAD and Civil 3D.
 * Excellent verbal and written communication skills.
 * Possession and maintenance of a valid Class “C” California driver’s license is required.

WORKING CONDITIONS

 * Driving occasionally to job sites.
 * Sitting / standing for extended periods of time.
 * Occasionally requires working in sitting position with computer for extended periods.
 * Working with detailed, finely printed documents.
 * Capacity to work in a fast-paced environment with deadlines and multiple projects.

PAY AND BENEFITS
We offer competitive pay and benefits, well-being programs to support you and your family, and development resources you need to advance your career. When you join us, you will connect and collaborate with a 300+ network of experts: community planners, environmental specialists, civil and structural engineers, building and safety experts, fire prevention and construction managers – leading the change to a more sustainable and equitable future.
The compensation for this position is $120,000 to $165,000 annually.
Exact compensation may vary based on skills, experience, and location.

_
We only consider candidates living locally or within the State of CA. We do not pay any relocation expenses._

*
BENEFITS OFFERED*
CSG’s comprehensive benefits package includes 401(k) plus company match, Employee Stock Ownership Program (Eligibility requirements must be met to qualify), 12 paid holidays, 3 weeks of paid time off (PTO), medical, dental, vision, FSA, EAP, Life/AD&D, LTD, voluntary life insurance, casual work environment and professional development program.
ABOUT US
CSG Consultants is an established and thriving, employee-owned municipal services consulting firm headquartered in Foster City, California with offices throughout California. Since 1991, CSG has exclusively served public agencies, providing a wide range of municipal services&mdash;from planning to community preservation. A trusted leader in the industry, CSG focuses on building long-term relationships with our client communities and stands by its commitment to the time-honored values of quality of service, integrity, and responsiveness.
Work Environment: We strive to offer the flexibility you need to do your best work. Whether you are working from a CSG office, remote location or at a client site, you will be working in a dynamic environment, where your integrity, enterprising spirit and pioneering mindset are championed. You will help us foster a culture of equity, diversity, and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work, using your unique talents, backgrounds, and experience to create positive outcomes for our clients.
Career Growth: We will encourage you to grow and develop your career with us through our technical and professional development programs and diverse career opportunities. We believe in leadership at all levels. No matter where you sit in the organization, you can make a lasting impact on projects you work on, the teams and committees you join as a part of our business practices.

_
CSG Consultants is an equal opportunity employer and makes employment decisions and provides employment opportunities based on merit, qualifications, potential and competency. We want to have the best available people in every job. CSG policy prohibits unlawful discrimination based on race, religion, color, creed, national origin, ancestry, sex, gender, gender identity, gender expression, sexual orientation, marital status, citizenship status, military and veteran status, age, disability, genetic information, or medical condition or any other consideration made unlawful by federal, state, or local laws. CSG Consultants, Inc. is committed to providing reasonable accommodation for qualified individuals with disabilities in our job application process. Any applicant who requires accommodation to apply for or perform the essential functions of a job should contact the Human Resources Department and request such accommodation._

Job Type: Full-time

Pay: $120,000.00 - $165,000.00 per year","2024-03-12T00:00:00","USD","$","false","hourly","Architectural & Engineering Services","CSG Consultants","201 to 500 Employees","1991-01-01T00:00:00.000Z","$25 to $100 million (USD)"
,"Senior Civil/Structural Engineer","Pany & Lentz Engineering Company, a multi-discipline engineering consulting firm located in Allentown, PA is seeking an experienced structural engineer for design of framing and foundation systems for industrial structures and manufacturing equipment, including craneways, stacks, bins, silos, utility bridges, pipe racks, duct work, and ancillary structures, support for bulk material handling equipment, and forensic evaluation and repair recommendations for damaged structural members.

Salary is based on experience level. Health insurance is provided at no cost to the employee, and we offer a highly competitive benefits package.

Senior Project Engineer Responsibilities

 * Project engineering for the plant design team.
 * Field inspection, electronic measuring, and condition surveys
 * Manage repair & retrofit projects.
 * Construction inspection and shop drawing review
 * Supervise engineers, designers, and draftsmen while performing your own design work.
 * Engineer repairs for structural supports.
 * Prepare drawings and assist with design drafting.
 * Assist with preparation of project proposals, contracts, reports, and specifications.
 * Prepare and review technical reports, calculations, and drawings to ensure accuracy and completeness.
 * Local travel in the Lehigh Valley area
 * Occasional travel out of area

Qualifications

 * B.S. in Civil/Structural or Mechanical Engineering from an ABET Accredited School
 * Ten or more years of progressive design experience with industrial structures and knowledge of applicable codes.
 * EIT with proficiency with ACAD and STAAD
 * Professional Engineer license with electronic survey experience preferred.
 * Proficiency in Microsoft Office including Teams.
 * Strong written and verbal communication skills.
 * Ability to manage multiple projects simultaneously.
 * Self-motivation and ability to work in office (remote work on occasion if the need arises).

Job Type: Full-time

Pay: $90,000.00 - $125,000.00 per year

Benefits:

 * Dental insurance
 * Flexible schedule
 * Health insurance
 * Paid time off
 * Professional development assistance
 * Retirement plan
 * Vision insurance

Compensation package:

 * Bonus opportunities

Experience level:

 * 5 years

Schedule:

 * 8 hour shift
 * Choose your own hours
 * Monday to Friday

Ability to commute/relocate:

 * Allentown, PA 18101: Reliably commute or planning to relocate before starting work (Required)

Education:

 * Bachelor's (Required)

License/Certification:

 * Professional Engineer License (Preferred)

Ability to Relocate:

 * Allentown, PA 18101: Relocate before starting work (Required)

Work Location: In person","2024-02-28T00:00:00","USD","$","false","hourly",,,,,
"Carlson, Brigance & Doering, Inc.","Graduate Civil Engineer - E.I.T.","Civil 3D CAD Technician/Drafter

Carlson, Brigance, & Doering, Inc. – Austin, TX. (Openings in SW Austin and Far N Austin offices)

Overview:

Carlson, Brigance, & Doering, Inc. is an Austin based engineering firm with over 30 years of experience offering our clients the highest quality of service using creative and innovative problem solving skills and industry leading technologies. Our in-house surveying, engineering, construction administration, and plan processing staff has considerable knowledge of the rules and regulations for all city and county municipalities in and around the Austin metropolitan area.

Description:

Graduate Engineers (E.I.T. preferred) will be responsible for preparation of residential and commercial projects including plan production, creation of alignments, surfaces, and profiles, as well as working with pipe networks for design of storm sewer, water, and wastewater systems. Candidate must be willing to grow and expand on their knowledge of Civil 3D and civil engineering design including, but not limited to street corridors, grading tools, drainage design, and basic hydrology.

Requirements:

 * Working knowledge of Civil 3D, version 2016 or later
 * Minimum of 1 year of Civil 3D experience that includes being versed in creating alignments, profiles, surfaces, as well as working with pipe networks.
 * Good written and verbal communication skills, along with the ability to work within a collaborative design team environment.
 * Detail oriented with strong analytical skills

Job Type: Full-time

Pay: $30.00 - $40.00 per hour

Expected hours: 40 per week

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Health insurance
 * Health savings account
 * Life insurance
 * Paid time off
 * Vision insurance

Schedule:

 * 8 hour shift
 * Monday to Friday

Work Location: In person","2024-03-04T00:00:00","USD","$","false","hourly","Architectural & Engineering Services","Carlson, Brigance & Doering","1 to 50 Employees","1986-01-01T00:00:00.000Z","$1 to $5 million (USD)"
,"Structural/Civil Engineer in Training Position","RAS Engineering, PA has an exciting opening for a civil engineer that passed the Structural/Civil EIT exam to grow with an award-winer consulting engineering firm.

The job entitles Assessment of the condition of building facades, inspection of construction work to ensure compliance with permit plans and specifications and testing of building materials.

The right candidate will be trained and sponsored to obtain industry certifications and advancing towards the PE licensing.

After certifications are obtained, the hourly rate will be up to $50 per hour on contract basis.

During training period, the hourly rate will be $20 per hour.

The candidate must be able to travel around South Florida and potentially to major US cities, company will pay for traveling expenses outside the state and per diem.

The candidate will be treated as independent contractor under IRS code. Company does not provide health insurance nor retirement plans.

Job Types: Full-time, Part-time, Internship

Pay: $20.00 - $50.00 per hour

Schedule:

 * Day shift

Work Location: Remote","2024-03-08T00:00:00","USD","$","false","hourly",,,,,
,"Civil Engineer/Project Manager","Walsh Engineering Associates, Inc. is a Maine-based Consulting Engineering firm that specializes in Civil Site Engineering, Environmental Permitting, Compliance, and Construction Management Services for a diversified clientele. The company has an exciting opportunity for a Civil Project Engineer/Project Manager to join our Westbrook, Maine team.

Walsh Engineering is focused on exceeding expectations by working closely with clients to execute projects that include a balance of innovative and practical design with equally high standards for construction execution. Our respected team of professionals provides clients with the most responsive and highest quality professional consulting services available. Our office maintains a culture that is collaborative and hard-working. We are fortunate enough to provide our clients with a wide range of services, meaning that everyone on our team is able to contribute and make a difference to our success. Joining Walsh Engineering means becoming part of a group of dedicated professionals who enjoy doing significant work, together, with other design disciplines and regulators.

The Civil Project Engineer/Project Manager position requires a bachelor’s degree in Civil Engineering with EIT preferred and ability to obtain PE license. The ideal candidate will be highly motivated with demonstrated strength in the areas of site development and environmental engineering.

Primary Responsibilities

· Work with the Project Managers and leadership team to develop data, complete technical analysis, and prepare permitting and construction drawings and reports.

· Performance of design and analysis for a variety of projects.

· Complete site layout, utility and grading plans, storm water analyses and reports, and site development permits.

· Performance of civil and structural engineering analyses and numerical analysis using various computer software programs.

· Hands-on field observation & inspection of construction activities.

Requirements

· Bachelor’s degree in Civil Engineering, EIT or PE

· Competency with AutoCAD Civil 3D

· Knowledge of storm drainage calculations and modeling and hydrology software (HydroCAD preferred)

· Basic understanding of construction

· Desire to work in a fast-paced environment while multi-tasking

· Ability to learn quickly and apply new skills

· Excellent written and verbal communication skills

· Proficient with Microsoft Office Suite applications

Walsh Engineering offers a highly competitive compensation and benefits package. Full-time employees receive these generous benefits:

· Sign-on bonus

· Flexible schedule

· Paid holidays and paid time off (vacation/sick pay)

· Health/Dental/Vision insurance

· Retirement plan with company match

· Education and training

· Profitability bonus structure

NO PHONE CALLS OR RECRUITERS

Walsh Engineering Associates, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.

Job Type: Full-time

Pay: From $70,000.00 per year

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Flexible schedule
 * Health insurance
 * Paid time off
 * Professional development assistance
 * Vision insurance

Schedule:

 * 8 hour shift
 * Monday to Friday
 * No nights

Education:

 * Bachelor's (Required)

Experience:

 * Civil Engineering: 1 year (Required)

License/Certification:

 * Professional Engineering License (Preferred)

Ability to Commute:

 * Westbrook, ME (Required)

Ability to Relocate:

 * Westbrook, ME: Relocate before starting work (Required)

Willingness to travel:

 * 25% (Preferred)

Work Location: In person","2024-02-19T00:00:00","USD","$","false","hourly",,,,,
"Frederick Ward Associates","Branch Manager (Principal Civil Engineer)","Frederick Ward Associates (FWA) is a multidisciplinary firm with a long-standing reputation for providing architecture, civil engineering, planning, landscape architecture, and surveying services. We are seeking an inspirational leader who desires to grow and drive change through innovative design, and, who wants to join a team of passionate and family oriented professionals.

WHAT SETS YOU APART:

 * BS or MS degree in Civil Engineering, Landscape Architecture or related fields
 * Professional Engineer (PE) or Registered Landscape Architects (RLA) license in the State of MD
 * 10+ years of technical and managerial experience
 * Demonstrated history of leading and motivating high-performing design teams
 * Regional, state and local industry knowledge and contacts
 * Ability to align with and manage client expectations
 * Relationships with sub-consultants and teaming partners

HOW YOU ACHIEVE SUCCESS:

 * Team growth through professional development and recruiting
 * Recognize opportunities and develop new client relationships
 * Value driven design decisions
 * Controlling project costs though effective planning of tasks and schedules
 * Mature and level-headed management style
 * Negotiating solutions to satisfy client objectives
 * Motivating and empowering the team to achieve successful results

YOUR NEW WORK BENEFITS:

 * Signing bonus
 * Excellent benefit package – company paid health and HSA plan, etc.
 * Generous PTO including time off for community and volunteer work
 * Freedom to build your own team
 * Convenient office location in the heart of Downtown Elkton
 * Social team building events

Job Type: Full-time

Pay: $125,000.00 - $150,000.00 per year

Benefits:

 * 401(k) matching
 * Flexible schedule
 * Health insurance
 * Health savings account
 * Life insurance
 * Paid time off
 * Professional development assistance
 * Vision insurance

Supplemental pay types:

 * Signing bonus

Work Location: In person","2024-03-12T00:00:00","USD","$","false","hourly","Architectural & Engineering Services","Frederick Ward Associates","1 to 50 Employees","1955-01-01T00:00:00.000Z","$1 to $5 million (USD)"
